"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.11.2020","3,3310","3,3117","3,3493","3,3090","-","0,65%"
"25.11.2020","3,3095","3,3005","3,3305","3,2800","-","0,30%"
"24.11.2020","3,2995","3,2625","3,3160","3,2610","75,22K","1,27%"
"23.11.2020","3,2580","3,2900","3,2960","3,2350","81,10K","-0,83%"
"22.11.2020","3,2853","3,2865","3,2883","3,2828","-","-0,17%"
"20.11.2020","3,2910","3,2120","3,3015","3,2035","79,99K","2,78%"
"19.11.2020","3,2020","3,1945","3,2175","3,1690","64,60K","0,13%"
"18.11.2020","3,1980","3,2065","3,2420","3,1880","78,67K","0,00%"
"17.11.2020","3,1980","3,2265","3,2395","3,1765","71,44K","-0,74%"
"16.11.2020","3,2220","3,1790","3,2625","3,1790","103,35K","1,38%"
"13.11.2020","3,1780","3,1350","3,1890","3,1275","61,02K","1,05%"
"12.11.2020","3,1450","3,1320","3,1640","3,1210","67,75K","0,35%"
"11.11.2020","3,1340","3,1540","3,1755","3,1075","69,70K","-0,68%"
"10.11.2020","3,1555","3,1355","3,1625","3,0965","90,53K","-0,02%"
"09.11.2020","3,1560","3,1625","3,2080","3,1315","103,98K","0,06%"
"06.11.2020","3,1540","3,1150","3,1740","3,1015","73,93K","1,41%"
"05.11.2020","3,1100","3,1100","3,1365","3,0800","70,56K","0,10%"
"04.11.2020","3,1070","3,0995","3,1210","3,0285","104,77K","0,47%"
"03.11.2020","3,0925","3,0860","3,1230","3,0795","61,16K","0,50%"
"02.11.2020","3,0770","3,0430","3,0965","3,0280","73,57K","0,97%"
"30.10.2020","3,0475","3,0580","3,0800","3,0370","72,16K","-0,29%"
"29.10.2020","3,0565","3,0690","3,0940","3,0435","64,53K","-0,24%"
"28.10.2020","3,0640","3,0880","3,1065","3,0420","89,55K","-0,95%"
"27.10.2020","3,0935","3,0915","3,1125","3,0800","56,27K","0,13%"
"26.10.2020","3,0895","3,1415","3,1430","3,0770","74,73K","-1,26%"
"23.10.2020","3,1290","3,1640","3,1645","3,1245","50,62K","-0,78%"
"22.10.2020","3,1535","3,1955","3,1960","3,1425","74,34K","-1,41%"
"21.10.2020","3,1985","3,1415","3,2180","3,1405","80,17K","1,60%"
"20.10.2020","3,1480","3,0835","3,1705","3,0730","78,89K","2,01%"
"19.10.2020","3,0860","3,0605","3,1080","3,0570","53,71K","0,60%"
"16.10.2020","3,0675","3,0875","3,0960","3,0555","49,49K","-0,58%"
"15.10.2020","3,0855","3,0505","3,0935","3,0245","73,52K","1,15%"
"14.10.2020","3,0505","3,0415","3,0685","3,0380","44,20K","0,20%"
"13.10.2020","3,0445","3,0635","3,0670","3,0265","60,94K","-0,64%"
"12.10.2020","3,0640","3,0795","3,0930","3,0520","50,42K","-0,60%"
"09.10.2020","3,0825","3,0420","3,0980","3,0390","77,72K","1,33%"
"08.10.2020","3,0420","3,0315","3,0475","3,0115","60,11K","0,30%"
"07.10.2020","3,0330","2,9270","3,0550","2,9225","88,20K","2,35%"
"06.10.2020","2,9635","2,9635","2,9765","2,9205","45,41K","0,02%"
"05.10.2020","2,9630","2,9800","2,9845","2,9320","56,24K","-0,49%"
"02.10.2020","2,9775","2,8775","2,9865","2,8345","112,08K","3,91%"
"01.10.2020","2,8655","3,0160","3,0465","2,8540","116,11K","-5,51%"
"30.09.2020","3,0325","2,9955","3,0415","2,9755","81,63K","1,42%"
"29.09.2020","2,9900","3,0000","3,0060","2,9550","67,93K","0,00%"
"28.09.2020","2,9900","2,9835","3,0115","2,9645","62,60K","0,64%"
"25.09.2020","2,9710","2,9650","2,9950","2,9440","70,67K","0,10%"
"24.09.2020","2,9680","2,9570","2,9795","2,9135","117,61K","-0,84%"
"23.09.2020","2,9930","3,0700","3,0725","2,9450","115,59K","-2,22%"
"22.09.2020","3,0610","3,0375","3,0875","3,0330","76,93K","0,96%"
"21.09.2020","3,0320","3,1040","3,1210","3,0135","102,83K","-2,70%"
"18.09.2020","3,1160","3,0805","3,1175","3,0640","87,10K","1,47%"
"17.09.2020","3,0710","3,0695","3,0860","3,0125","76,55K","0,33%"
"16.09.2020","3,0610","3,0570","3,0830","3,0440","51,10K","-0,07%"
"15.09.2020","3,0630","3,0660","3,0910","3,0455","62,07K","-0,16%"
"14.09.2020","3,0680","3,0470","3,0760","3,0250","54,54K","0,94%"
"11.09.2020","3,0395","2,9750","3,0525","2,9720","69,88K","1,37%"
"10.09.2020","2,9985","3,0550","3,0590","2,9555","83,84K","-1,74%"
"09.09.2020","3,0515","3,0175","3,0605","3,0030","60,16K","0,88%"
"08.09.2020","3,0250","3,0755","3,0885","2,9980","122,72K","-1,46%"
"07.09.2020","3,0697","3,0740","3,0880","3,0427","-","-0,16%"
"06.09.2020","3,0745","3,0790","3,0790","3,0623","-","0,41%"
"04.09.2020","3,0620","2,9785","3,0835","2,9645","85,84K","2,92%"
"03.09.2020","2,9750","3,0310","3,0420","2,9535","78,66K","-1,51%"
"02.09.2020","3,0205","3,0240","3,0395","2,9990","61,19K","-0,26%"
"01.09.2020","3,0285","3,0505","3,0945","3,0140","79,51K","-0,41%"
"31.08.2020","3,0410","3,0135","3,0440","3,0120","1,60K","1,54%"
"28.08.2020","2,9950","2,9760","3,0170","2,9740","13,12K","0,93%"
"27.08.2020","2,9675","2,9780","2,9900","2,9340","45,43K","0,20%"
"26.08.2020","2,9615","2,9420","2,9780","2,9325","52,42K","0,94%"
"25.08.2020","2,9340","2,9240","2,9430","2,9115","45,19K","0,26%"
"24.08.2020","2,9265","2,9195","2,9635","2,9135","61,33K","0,31%"
"21.08.2020","2,9175","2,9895","3,0045","2,9065","75,78K","-1,92%"
"20.08.2020","2,9745","3,0010","3,0010","2,9520","75,61K","-1,60%"
"19.08.2020","3,0230","2,9745","3,0295","2,9670","91,75K","1,61%"
